locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJIGEHEJ_00249	CDS	393				hypothetical protein
IJIGEHEJ_00250	CDS	1170	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
IJIGEHEJ_00251	CDS	630				hypothetical protein
IJIGEHEJ_00252	CDS	633	lexA	3.4.21.88	COG1974	LexA repressor
IJIGEHEJ_00253	CDS	273				hypothetical protein
IJIGEHEJ_00254	CDS	231				hypothetical protein
IJIGEHEJ_00255	CDS	636	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
IJIGEHEJ_00256	CDS	759	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
IJIGEHEJ_00257	CDS	306				hypothetical protein
IJIGEHEJ_00258	CDS	999		1.1.1.28		D-lactate dehydrogenase
IJIGEHEJ_00259	CDS	723	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
IJIGEHEJ_00260	CDS	804	rpsB		COG0052	Small ribosomal subunit protein uS2
IJIGEHEJ_00261	CDS	879	tsf		COG0264	Elongation factor Ts
IJIGEHEJ_00262	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
IJIGEHEJ_00263	CDS	564	frr			Ribosome-recycling factor
IJIGEHEJ_00264	CDS	780	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
IJIGEHEJ_00265	CDS	786				hypothetical protein
IJIGEHEJ_00266	CDS	1269	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
IJIGEHEJ_00267	CDS	1710	proS	6.1.1.15	COG0442	Proline--tRNA ligase
IJIGEHEJ_00268	CDS	4314	polC_1	2.7.7.7	COG2176	DNA polymerase III PolC-type
IJIGEHEJ_00269	CDS	477	rimP		COG0779	Ribosome maturation factor RimP
IJIGEHEJ_00270	CDS	1218	nusA		COG0195	Transcription termination/antitermination protein NusA
IJIGEHEJ_00271	CDS	300				hypothetical protein
IJIGEHEJ_00272	CDS	306	rulQ		COG1358	RNA-binding protein YlxQ
IJIGEHEJ_00273	CDS	2577	bipA_2	3.6.5.-		Large ribosomal subunit assembly factor BipA
IJIGEHEJ_00274	CDS	354	rbfA		COG0858	Ribosome-binding factor A
IJIGEHEJ_00275	CDS	1455				hypothetical protein
IJIGEHEJ_00276	CDS	1170	aroC	4.2.3.5		Chorismate synthase
IJIGEHEJ_00277	CDS	528				hypothetical protein
IJIGEHEJ_00278	CDS	1299	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
IJIGEHEJ_00279	CDS	1098				hypothetical protein
IJIGEHEJ_00280	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase
IJIGEHEJ_00281	CDS	924	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
IJIGEHEJ_00282	CDS	1002	ribCF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
IJIGEHEJ_00283	CDS	711	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
IJIGEHEJ_00284	CDS	1044	hrcA		COG1420	Heat-inducible transcription repressor HrcA
IJIGEHEJ_00285	CDS	609	grpE		COG0576	Protein GrpE
IJIGEHEJ_00286	CDS	1869	dnaK			Chaperone protein DnaK
IJIGEHEJ_00287	CDS	1143	dnaJ			Chaperone protein DnaJ
IJIGEHEJ_00288	CDS	1176	pbpX		COG1680	Putative penicillin-binding protein PbpX
IJIGEHEJ_00289	CDS	150				hypothetical protein
IJIGEHEJ_00290	CDS	1527	dltA	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
IJIGEHEJ_00291	CDS	1215	dltB	2.3.1.-	COG1696	Teichoic acid D-alanyltransferase
IJIGEHEJ_00292	CDS	237	dltC1_1		COG0236	D-alanyl carrier protein 1
IJIGEHEJ_00293	CDS	1278	dltD		COG3966	Protein DltD
IJIGEHEJ_00294	CDS	1836	lepA	3.6.5.-		Elongation factor 4
IJIGEHEJ_00295	CDS	291				hypothetical protein
IJIGEHEJ_00296	CDS	291				hypothetical protein
IJIGEHEJ_00297	CDS	630		3.2.2.-		Putative 3-methyladenine DNA glycosylase
IJIGEHEJ_00298	CDS	951	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
IJIGEHEJ_00299	CDS	753	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
IJIGEHEJ_00300	CDS	336				hypothetical protein
IJIGEHEJ_00301	CDS	2268	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
IJIGEHEJ_00302	CDS	447	dtd	3.1.1.96		D-aminoacyl-tRNA deacylase
IJIGEHEJ_00303	CDS	624	mupP_1	3.1.3.105		N-acetylmuramic acid 6-phosphate phosphatase
IJIGEHEJ_00304	CDS	843		2.7.1.-	COG3001	putative ketoamine kinase
IJIGEHEJ_00305	CDS	849	lytH	3.5.1.-	COG0860	putative cell wall amidase LytH
IJIGEHEJ_00306	CDS	1281	hisS	6.1.1.21		Histidine--tRNA ligase
IJIGEHEJ_00307	CDS	1797	aspS	6.1.1.12		Aspartate--tRNA ligase
IJIGEHEJ_00308	CDS	531	msrA_2	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
IJIGEHEJ_00309	CDS	876				hypothetical protein
IJIGEHEJ_00310	CDS	1152				hypothetical protein
IJIGEHEJ_00311	CDS	897	nfo	3.1.21.2	COG0648	putative endonuclease 4
IJIGEHEJ_00312	CDS	720	baiA	1.1.1.-	COG1028	3alpha-hydroxysteroid dehydrogenase
IJIGEHEJ_00313	CDS	819	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
IJIGEHEJ_00314	CDS	189	rpsU		COG0828	Small ribosomal subunit protein bS21
IJIGEHEJ_00315	CDS	444	yqeY		COG1610	putative protein YqeY
IJIGEHEJ_00316	CDS	972			COG1702	PhoH-like protein
IJIGEHEJ_00317	CDS	480	ybeY	3.1.-.-		Endoribonuclease YbeY
IJIGEHEJ_00318	CDS	417	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
IJIGEHEJ_00319	CDS	909	era		COG1159	GTPase Era
IJIGEHEJ_00320	CDS	789	recO		COG1381	DNA repair protein RecO
IJIGEHEJ_00321	CDS	900	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
IJIGEHEJ_00322	CDS	2085	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
IJIGEHEJ_00323	CDS	1881	dnaG	2.7.7.101	COG0358	DNA primase
IJIGEHEJ_00324	CDS	1107	sigA		COG0568	RNA polymerase sigma factor SigA
IJIGEHEJ_00325	CDS	390	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
IJIGEHEJ_00326	CDS	894	ytrB_1		COG1131	ABC transporter ATP-binding protein YtrB
IJIGEHEJ_00327	CDS	1071				hypothetical protein
IJIGEHEJ_00328	CDS	1059				hypothetical protein
IJIGEHEJ_00329	CDS	753				hypothetical protein
IJIGEHEJ_00330	CDS	900	bcrA_1			Bacitracin transport ATP-binding protein BcrA
IJIGEHEJ_00331	CDS	414				hypothetical protein
IJIGEHEJ_00332	CDS	669				hypothetical protein
IJIGEHEJ_00333	CDS	468				hypothetical protein
IJIGEHEJ_00334	CDS	468	yjaB	2.3.1.-	COG0456	Peptidyl-lysine N-acetyltransferase YjaB
IJIGEHEJ_00335	CDS	150				hypothetical protein
IJIGEHEJ_00336	CDS	888	drrA3_2	7.6.2.2		Daunorubicin resistance ATP-binding protein DrrA3
IJIGEHEJ_00337	CDS	771				hypothetical protein
IJIGEHEJ_00338	CDS	1101				hypothetical protein
IJIGEHEJ_00339	CDS	606	desR		COG2197	Transcriptional regulatory protein DesR
IJIGEHEJ_00340	CDS	393	nox_1	1.6.3.4	COG0446	NADH oxidase
IJIGEHEJ_00341	CDS	936	nox_2	1.6.3.4	COG0446	NADH oxidase
IJIGEHEJ_00342	CDS	249				hypothetical protein
IJIGEHEJ_00343	CDS	945				Zinc-type alcohol dehydrogenase-like protein
